payment_id,subscription_id,user_id,paid_at,amount,currency,payment_method,status,billing_period_start,billing_period_end
P000162,S00018,U0096,2025-09-14 21:00:00,19.99,USD,paypal,success,2025-09-14,2025-10-13
P000163,S00018,U0096,2025-10-14 23:00:00,19.99,USD,paypal,success,2025-10-14,2025-11-12
P000164,S00018,U0096,2025-11-13 04:00:00,19.99,USD,paypal,refunded,2025-11-13,2025-12-12
P000165,S00018,U0096,2025-12-13 15:00:00,19.99,USD,paypal,success,2025-12-13,2026-01-11
P000166,S00018,U0096,2026-01-12 13:00:00,19.99,USD,paypal,success,2026-01-12,2026-02-10
P000167,S00018,U0096,2026-02-11 02:00:00,19.99,USD,paypal,success,2026-02-11,2026-03-12
P000168,S00018,U0096,2026-03-13 10:00:00,19.99,USD,paypal,success,2026-03-13,2026-04-11
P000169,S00019,U0077,2022-04-10 21:00:00,19.99,USD,credit_card,success,2022-04-10,2022-05-09
P000170,S00019,U0077,2022-05-10 23:00:00,19.99,USD,credit_card,success,2022-05-10,2022-06-08
P000171,S00019,U0077,2022-06-09 18:00:00,19.99,USD,credit_card,success,2022-06-09,2022-07-08
P000172,S00019,U0077,2022-07-09 21:00:00,19.99,USD,credit_card,success,2022-07-09,2022-08-07
P000173,S00019,U0077,2022-08-08 16:00:00,19.99,USD,credit_card,success,2022-08-08,2022-09-06
P000174,S00019,U0077,2022-09-07 22:00:00,19.99,USD,credit_card,success,2022-09-07,2022-10-06
P000175,S00019,U0077,2022-10-07 13:00:00,19.99,USD,credit_card,success,2022-10-07,2022-11-05
P000176,S00019,U0077,2022-11-06 07:00:00,19.99,USD,credit_card,success,2022-11-06,2022-12-05
P000177,S00019,U0077,2022-12-06 21:00:00,19.99,USD,credit_card,success,2022-12-06,2023-01-04
P000178,S00019,U0077,2023-01-05 12:00:00,19.99,USD,credit_card,success,2023-01-05,2023-02-03
P000179,S00019,U0077,2023-02-04 17:00:00,19.99,USD,credit_card,success,2023-02-04,2023-03-05
P000180,S00019,U0077,2023-03-06 19:00:00,19.99,USD,credit_card,success,2023-03-06,2023-04-04
P000181,S00019,U0077,2023-04-05 20:00:00,19.99,USD,credit_card,success,2023-04-05,2023-05-04
P000182,S00019,U0077,2023-05-05 16:00:00,19.99,USD,credit_card,failed,2023-05-05,2023-06-03
P000183,S00019,U0077,2023-06-04 15:00:00,19.99,USD,credit_card,success,2023-06-04,2023-07-03
P000184,S00019,U0077,2023-07-04 02:00:00,19.99,USD,credit_card,success,2023-07-04,2023-08-02
P000185,S00019,U0077,2023-08-03 10:00:00,19.99,USD,credit_card,success,2023-08-03,2023-09-01
P000186,S00019,U0077,2023-09-02 08:00:00,19.99,USD,credit_card,success,2023-09-02,2023-10-01
P000187,S00019,U0077,2023-10-02 07:00:00,19.99,USD,credit_card,success,2023-10-02,2023-10-31
P000188,S00019,U0077,2023-11-01 12:00:00,19.99,USD,credit_card,success,2023-11-01,2023-11-30
P000189,S00019,U0077,2023-12-01 07:00:00,19.99,USD,credit_card,success,2023-12-01,2023-12-30
P000190,S00019,U0077,2023-12-31 14:00:00,19.99,USD,credit_card,success,2023-12-31,2024-01-29
P000191,S00019,U0077,2024-01-30 14:00:00,19.99,USD,credit_card,success,2024-01-30,2024-02-28
P000192,S00020,U0098,2024-04-29 15:00:00,9.99,USD,paypal,success,2024-04-29,2024-05-28
P000193,S00020,U0098,2024-05-29 03:00:00,9.99,USD,paypal,success,2024-05-29,2024-06-27
P000194,S00021,U0128,2025-01-01 23:00:00,19.99,USD,google_pay,refunded,2025-01-01,2025-01-30
P000195,S00021,U0128,2025-01-31 03:00:00,19.99,USD,google_pay,success,2025-01-31,2025-03-01
P000196,S00021,U0128,2025-03-02 01:00:00,19.99,USD,google_pay,success,2025-03-02,2025-03-31
P000197,S00021,U0128,2025-04-01 00:00:00,19.99,USD,google_pay,success,2025-04-01,2025-04-30
P000198,S00021,U0128,2025-05-01 19:00:00,19.99,USD,google_pay,success,2025-05-01,2025-05-30
P000199,S00021,U0128,2025-05-31 20:00:00,19.99,USD,google_pay,refunded,2025-05-31,2025-06-29
P000200,S00021,U0128,2025-06-30 16:00:00,19.99,USD,google_pay,success,2025-06-30,2025-07-29
P000201,S00021,U0128,2025-07-30 20:00:00,19.99,USD,google_pay,success,2025-07-30,2025-08-28
P000202,S00021,U0128,2025-08-29 10:00:00,19.99,USD,google_pay,success,2025-08-29,2025-09-27
P000203,S00021,U0128,2025-09-28 01:00:00,19.99,USD,google_pay,success,2025-09-28,2025-10-27
P000204,S00021,U0128,2025-10-28 14:00:00,19.99,USD,google_pay,success,2025-10-28,2025-11-26
P000205,S00021,U0128,2025-11-27 19:00:00,19.99,USD,google_pay,success,2025-11-27,2025-12-26
P000206,S00022,U0136,2022-03-31 22:00:00,19.99,USD,apple_pay,success,2022-03-31,2022-04-29
P000207,S00022,U0136,2022-04-30 22:00:00,19.99,USD,apple_pay,success,2022-04-30,2022-05-29
P000208,S00022,U0136,2022-05-30 03:00:00,19.99,USD,apple_pay,success,2022-05-30,2022-06-28
P000209,S00022,U0136,2022-06-29 07:00:00,19.99,USD,apple_pay,success,2022-06-29,2022-07-28
P000210,S00022,U0136,2022-07-29 11:00:00,19.99,USD,apple_pay,success,2022-07-29,2022-08-27
P000211,S00022,U0136,2022-08-28 09:00:00,19.99,USD,apple_pay,success,2022-08-28,2022-09-26
P000212,S00022,U0136,2022-09-27 11:00:00,19.99,USD,apple_pay,success,2022-09-27,2022-10-26
P000213,S00022,U0136,2022-10-27 01:00:00,19.99,USD,apple_pay,success,2022-10-27,2022-11-25
P000214,S00023,U0012,2024-09-18 15:00:00,19.99,USD,google_pay,success,2024-09-18,2024-10-17
P000215,S00023,U0012,2024-10-18 22:00:00,19.99,USD,google_pay,success,2024-10-18,2024-11-16
P000216,S00023,U0012,2024-11-17 13:00:00,19.99,USD,google_pay,success,2024-11-17,2024-12-16
P000217,S00023,U0012,2024-12-17 19:00:00,19.99,USD,google_pay,success,2024-12-17,2025-01-15
P000218,S00023,U0012,2025-01-16 03:00:00,19.99,USD,google_pay,success,2025-01-16,2025-02-14
P000219,S00023,U0012,2025-02-15 12:00:00,19.99,USD,google_pay,failed,2025-02-15,2025-03-16
P000220,S00023,U0012,2025-03-17 06:00:00,19.99,USD,google_pay,success,2025-03-17,2025-04-15
P000221,S00023,U0012,2025-04-16 03:00:00,19.99,USD,google_pay,success,2025-04-16,2025-05-15
P000222,S00023,U0012,2025-05-16 01:00:00,19.99,USD,google_pay,success,2025-05-16,2025-06-14
P000223,S00023,U0012,2025-06-15 21:00:00,19.99,USD,google_pay,failed,2025-06-15,2025-07-14
P000224,S00024,U0046,2024-03-04 14:00:00,19.99,USD,google_pay,success,2024-03-04,2024-04-02
P000225,S00025,U0193,2023-07-24 18:00:00,19.99,USD,paypal,success,2023-07-24,2023-08-22
P000226,S00025,U0193,2023-08-23 04:00:00,19.99,USD,paypal,failed,2023-08-23,2023-09-21
P000227,S00025,U0193,2023-09-22 00:00:00,19.99,USD,paypal,refunded,2023-09-22,2023-10-21
P000228,S00026,U0146,2024-12-24 01:00:00,19.99,USD,google_pay,success,2024-12-24,2025-01-22
P000229,S00026,U0146,2025-01-23 13:00:00,19.99,USD,google_pay,success,2025-01-23,2025-02-21
P000230,S00026,U0146,2025-02-22 15:00:00,19.99,USD,google_pay,success,2025-02-22,2025-03-23
P000231,S00026,U0146,2025-03-24 05:00:00,19.99,USD,google_pay,failed,2025-03-24,2025-04-22
P000232,S00026,U0146,2025-04-23 05:00:00,19.99,USD,google_pay,success,2025-04-23,2025-05-22
P000233,S00026,U0146,2025-05-23 04:00:00,19.99,USD,google_pay,success,2025-05-23,2025-06-21
P000234,S00026,U0146,2025-06-22 21:00:00,19.99,USD,google_pay,success,2025-06-22,2025-07-21
P000235,S00026,U0146,2025-07-22 10:00:00,19.99,USD,google_pay,success,2025-07-22,2025-08-20
P000236,S00026,U0146,2025-08-21 12:00:00,19.99,USD,google_pay,success,2025-08-21,2025-09-19
P000237,S00026,U0146,2025-09-20 19:00:00,19.99,USD,google_pay,success,2025-09-20,2025-10-19
P000238,S00026,U0146,2025-10-20 07:00:00,19.99,USD,google_pay,failed,2025-10-20,2025-11-18
P000239,S00026,U0146,2025-11-19 10:00:00,19.99,USD,google_pay,success,2025-11-19,2025-12-18
P000240,S00026,U0146,2025-12-19 14:00:00,19.99,USD,google_pay,refunded,2025-12-19,2026-01-17
P000241,S00026,U0146,2026-01-18 04:00:00,19.99,USD,google_pay,success,2026-01-18,2026-02-16
P000242,S00026,U0146,2026-02-17 22:00:00,19.99,USD,google_pay,success,2026-02-17,2026-03-18
P000243,S00026,U0146,2026-03-19 16:00:00,19.99,USD,google_pay,success,2026-03-19,2026-04-17
P000244,S00026,U0146,2026-04-18 22:00:00,19.99,USD,google_pay,success,2026-04-18,2026-05-17
P000245,S00026,U0146,2026-05-18 10:00:00,19.99,USD,google_pay,success,2026-05-18,2026-06-16
P000246,S00026,U0146,2026-06-17 17:00:00,19.99,USD,google_pay,success,2026-06-17,2026-07-16
P000247,S00026,U0146,2026-07-17 06:00:00,19.99,USD,google_pay,success,2026-07-17,2026-08-15
P000248,S00026,U0146,2026-08-16 22:00:00,19.99,USD,google_pay,success,2026-08-16,2026-09-14
P000249,S00026,U0146,2026-09-15 11:00:00,19.99,USD,google_pay,success,2026-09-15,2026-10-14
P000250,S00026,U0146,2026-10-15 04:00:00,19.99,USD,google_pay,failed,2026-10-15,2026-11-13
P000251,S00026,U0146,2026-11-14 20:00:00,19.99,USD,google_pay,refunded,2026-11-14,2026-12-13
P000252,S00027,U0099,2023-03-18 05:00:00,19.99,USD,bank_transfer,refunded,2023-03-18,2023-04-16
P000253,S00027,U0099,2023-04-17 22:00:00,19.99,USD,bank_transfer,success,2023-04-17,2023-05-16
P000254,S00027,U0099,2023-05-17 22:00:00,19.99,USD,bank_transfer,success,2023-05-17,2023-06-15
P000255,S00028,U0026,2023-09-15 11:00:00,9.99,USD,google_pay,success,2023-09-15,2023-10-14
P000256,S00028,U0026,2023-10-15 18:00:00,9.99,USD,google_pay,success,2023-10-15,2023-11-13
P000257,S00028,U0026,2023-11-14 21:00:00,9.99,USD,google_pay,success,2023-11-14,2023-12-13
P000258,S00028,U0026,2023-12-14 21:00:00,9.99,USD,google_pay,success,2023-12-14,2024-01-12
P000259,S00028,U0026,2024-01-13 17:00:00,9.99,USD,google_pay,success,2024-01-13,2024-02-11
P000260,S00028,U0026,2024-02-12 13:00:00,9.99,USD,google_pay,success,2024-02-12,2024-03-12
