session_id,user_id,book_id,started_at,ended_at,pages_read,device_type,completion_pct
SS000040,U0133,B0016,2021-04-04 00:00:00,2021-04-04 00:57:00,87,tablet,20.7
SS000041,U0074,B0037,2024-03-08 00:00:00,2024-03-08 02:11:00,93,tablet,39.4
SS000042,U0117,B0027,2023-05-13 00:00:00,2023-05-13 01:00:00,569,desktop,99.5
SS000043,U0078,B0025,2022-05-06 00:00:00,2022-05-06 00:51:00,358,tablet,42.0
SS000044,U0041,B0004,2021-08-17 00:00:00,2021-08-17 01:12:00,63,tablet,25.1
SS000045,U0122,B0032,2022-01-27 00:00:00,2022-01-27 02:34:00,602,mobile,69.1
SS000046,U0124,B0011,2020-01-22 00:00:00,2020-01-22 02:05:00,130,e-reader,15.1
SS000047,U0088,B0051,2023-11-07 00:00:00,2023-11-07 00:59:00,483,e-reader,71.9
SS000048,U0189,B0055,2024-02-16 00:00:00,2024-02-16 02:37:00,93,mobile,27.1
SS000049,U0027,B0072,2020-04-30 00:00:00,2020-04-30 00:18:00,286,desktop,34.6
SS000050,U0065,B0061,2025-02-03 00:00:00,2025-02-03 01:35:00,362,e-reader,99.7
SS000051,U0179,B0077,2023-12-24 00:00:00,2023-12-24 00:16:00,3,desktop,2.5
SS000052,U0136,B0080,2022-02-19 00:00:00,2022-02-19 01:22:00,190,tablet,97.8
SS000053,U0179,B0048,2020-09-27 00:00:00,2020-09-27 02:28:00,34,desktop,6.0
SS000054,U0050,B0034,2020-12-13 00:00:00,2020-12-13 02:13:00,265,desktop,50.3
SS000055,U0092,B0060,2020-09-27 00:00:00,2020-09-27 00:27:00,62,desktop,33.1
SS000056,U0142,B0056,2020-10-17 00:00:00,2020-10-17 01:11:00,126,tablet,13.5
SS000057,U0013,B0017,2022-10-19 00:00:00,2022-10-19 01:16:00,540,tablet,75.3
SS000058,U0117,B0037,2025-01-22 00:00:00,2025-01-22 01:12:00,147,desktop,62.1
SS000059,U0073,B0067,2021-10-03 00:00:00,2021-10-03 01:56:00,505,mobile,89.5
SS000060,U0086,B0063,2024-04-13 00:00:00,2024-04-13 00:43:00,248,desktop,56.5
SS000061,U0176,B0057,2020-04-18 00:00:00,2020-04-18 00:53:00,86,desktop,16.6
SS000062,U0063,B0024,2020-03-14 00:00:00,2020-03-14 02:05:00,70,tablet,27.5
SS000063,U0188,B0060,2022-06-12 00:00:00,2022-06-12 00:34:00,189,desktop,99.5
SS000064,U0133,B0006,2022-06-23 00:00:00,2022-06-23 01:36:00,641,tablet,98.9
SS000065,U0150,B0063,2022-07-26 00:00:00,2022-07-26 02:11:00,57,desktop,13.0
SS000066,U0192,B0019,2020-09-10 00:00:00,2020-09-10 01:34:00,84,tablet,11.2
SS000067,U0078,B0024,2024-09-05 00:00:00,2024-09-05 00:48:00,194,tablet,75.5
SS000068,U0075,B0073,2024-12-29 00:00:00,2024-12-29 02:54:00,491,mobile,59.4
SS000069,U0157,B0001,2022-12-13 00:00:00,2022-12-13 02:31:00,54,tablet,19.7
SS000070,U0022,B0032,2024-04-22 00:00:00,2024-04-22 02:12:00,595,e-reader,68.3
SS000071,U0090,B0004,2021-08-05 00:00:00,2021-08-05 02:59:00,246,mobile,98.2
SS000072,U0035,B0051,2022-02-04 00:00:00,2022-02-04 02:36:00,626,tablet,93.1
SS000073,U0031,B0042,2020-11-10 00:00:00,2020-11-10 00:12:00,44,e-reader,9.9
SS000074,U0189,B0062,2022-07-18 00:00:00,2022-07-18 02:45:00,278,mobile,95.6
SS000075,U0160,B0001,2021-11-05 00:00:00,2021-11-05 00:16:00,182,tablet,66.3
SS000076,U0122,B0042,2025-04-24 00:00:00,2025-04-24 02:30:00,66,mobile,14.7
SS000077,U0014,B0037,2021-10-23 00:00:00,2021-10-23 00:19:00,178,tablet,74.9
SS000078,U0147,B0078,2022-02-20 00:00:00,2022-02-20 00:28:00,102,tablet,41.1
SS000079,U0050,B0031,2024-04-27 00:00:00,2024-04-27 01:47:00,100,desktop,10.7
SS000080,U0058,B0021,2022-03-06 00:00:00,2022-03-06 01:48:00,208,desktop,29.9
SS000081,U0175,B0020,2020-09-03 00:00:00,2020-09-03 01:21:00,263,mobile,50.1
SS000082,U0117,B0040,2025-01-24 00:00:00,2025-01-24 03:00:00,419,desktop,61.1
SS000083,U0098,B0013,2024-08-31 00:00:00,2024-08-31 01:39:00,410,e-reader,52.2
SS000084,U0132,B0058,2024-12-18 00:00:00,2024-12-18 01:44:00,187,e-reader,48.7
SS000085,U0151,B0077,2022-05-16 00:00:00,2022-05-16 00:28:00,101,e-reader,76.1
SS000086,U0101,B0079,2021-01-16 00:00:00,2021-01-16 01:56:00,364,e-reader,63.8
SS000087,U0026,B0006,2022-11-17 00:00:00,2022-11-17 01:32:00,632,e-reader,97.4
SS000088,U0181,B0029,2023-08-19 00:00:00,2023-08-19 03:00:00,672,e-reader,71.9
SS000089,U0133,B0068,2023-07-13 00:00:00,2023-07-13 02:50:00,463,tablet,53.4
SS000090,U0080,B0060,2022-06-14 00:00:00,2022-06-14 00:25:00,172,desktop,90.9
SS000091,U0129,B0039,2020-10-31 00:00:00,2020-10-31 00:37:00,552,tablet,69.1
SS000092,U0082,B0032,2022-12-07 00:00:00,2022-12-07 01:54:00,270,e-reader,31.0
SS000093,U0014,B0071,2020-06-05 00:00:00,2020-06-05 00:16:00,339,tablet,52.3
SS000094,U0137,B0055,2022-04-25 00:00:00,2022-04-25 00:29:00,163,tablet,47.5
SS000095,U0192,B0073,2024-07-22 00:00:00,2024-07-22 01:09:00,304,tablet,36.8
SS000096,U0157,B0011,2024-04-23 00:00:00,2024-04-23 02:13:00,31,tablet,3.6
SS000097,U0198,B0060,2021-01-02 00:00:00,2021-01-02 00:51:00,160,mobile,84.6
SS000098,U0013,B0011,2022-05-02 00:00:00,2022-05-02 01:21:00,283,tablet,32.8
SS000099,U0193,B0059,2024-03-31 00:00:00,2024-03-31 02:56:00,254,tablet,46.1
SS000100,U0073,B0044,2025-02-23 00:00:00,2025-02-23 00:52:00,73,mobile,22.7
SS000101,U0023,B0078,2021-06-15 00:00:00,2021-06-15 02:57:00,30,tablet,12.4
SS000102,U0143,B0003,2020-01-12 00:00:00,2020-01-12 01:46:00,93,mobile,13.4
SS000103,U0048,B0062,2022-07-31 00:00:00,2022-07-31 01:48:00,253,e-reader,87.1
SS000104,U0200,B0078,2024-01-26 00:00:00,2024-01-26 02:09:00,78,tablet,31.7
SS000105,U0165,B0047,2023-11-15 00:00:00,2023-11-15 02:57:00,235,mobile,96.4
SS000106,U0180,B0051,2024-07-05 00:00:00,2024-07-05 01:22:00,71,desktop,10.6
SS000107,U0038,B0002,2021-01-25 00:00:00,2021-01-25 00:33:00,508,desktop,82.0
SS000108,U0186,B0025,2024-10-25 00:00:00,2024-10-25 00:11:00,192,mobile,22.5
SS000109,U0174,B0019,2023-08-23 00:00:00,2023-08-23 01:06:00,337,desktop,44.7
SS000110,U0168,B0069,2021-01-25 00:00:00,2021-01-25 00:27:00,187,mobile,31.5
SS000111,U0125,B0019,2022-08-28 00:00:00,2022-08-28 01:53:00,30,e-reader,4.1
SS000112,U0046,B0020,2024-02-22 00:00:00,2024-02-22 01:58:00,506,e-reader,96.5
SS000113,U0127,B0003,2024-10-26 00:00:00,2024-10-26 02:00:00,415,tablet,59.4
SS000114,U0056,B0038,2023-03-12 00:00:00,2023-03-12 01:45:00,46,mobile,7.0
SS000115,U0004,B0014,2023-07-15 00:00:00,2023-07-15 01:55:00,331,mobile,98.0
SS000116,U0133,B0075,2023-05-05 00:00:00,2023-05-05 02:26:00,442,tablet,99.9
SS000117,U0011,B0063,2022-03-29 00:00:00,2022-03-29 02:09:00,229,tablet,52.3
SS000118,U0193,B0079,2025-03-30 00:00:00,2025-03-30 02:58:00,517,tablet,90.7
SS000119,U0131,B0030,2024-01-02 00:00:00,2024-01-02 00:20:00,372,e-reader,53.8
SS000120,U0115,B0074,2021-10-08 00:00:00,2021-10-08 02:26:00,56,tablet,8.2
SS000121,U0173,B0054,2024-12-25 00:00:00,2024-12-25 02:06:00,64,e-reader,13.5
SS000122,U0167,B0045,2022-07-07 00:00:00,2022-07-07 01:56:00,30,mobile,4.0
SS000123,U0079,B0025,2022-08-19 00:00:00,2022-08-19 01:33:00,383,desktop,44.9
SS000124,U0136,B0029,2023-04-18 00:00:00,2023-04-18 03:00:00,329,tablet,35.2
SS000125,U0162,B0060,2020-09-25 00:00:00,2020-09-25 01:20:00,138,tablet,72.9
SS000126,U0106,B0054,2024-09-02 00:00:00,2024-09-02 02:57:00,316,desktop,65.9
SS000127,U0099,B0061,2024-06-25 00:00:00,2024-06-25 00:46:00,228,mobile,62.9
SS000128,U0078,B0012,2023-09-28 00:00:00,2023-09-28 02:08:00,45,tablet,14.7
SS000129,U0056,B0021,2023-05-25 00:00:00,2023-05-25 02:10:00,82,mobile,11.9
SS000130,U0113,B0064,2021-09-13 00:00:00,2021-09-13 01:05:00,171,mobile,22.5
SS000131,U0014,B0003,2022-01-04 00:00:00,2022-01-04 01:11:00,259,tablet,37.0
SS000132,U0044,B0023,2024-08-22 00:00:00,2024-08-22 02:13:00,38,mobile,5.1
SS000133,U0018,B0044,2022-05-31 00:00:00,2022-05-31 00:34:00,201,tablet,62.5
SS000134,U0034,B0072,2021-04-03 00:00:00,2021-04-03 02:09:00,225,tablet,27.3
SS000135,U0093,B0046,2024-04-24 00:00:00,2024-04-24 00:16:00,703,mobile,77.5
SS000136,U0149,B0035,2025-01-09 00:00:00,2025-01-09 00:43:00,572,mobile,85.6
SS000137,U0138,B0078,2023-10-03 00:00:00,2023-10-03 00:31:00,177,e-reader,71.2
SS000138,U0119,B0059,2024-09-19 00:00:00,2024-09-19 00:33:00,537,e-reader,97.5
SS000139,U0164,B0079,2024-05-20 00:00:00,2024-05-20 00:31:00,472,desktop,82.7
SS000140,U0012,B0065,2020-08-03 00:00:00,2020-08-03 00:47:00,445,tablet,63.7
SS000141,U0057,B0047,2020-11-17 00:00:00,2020-11-17 01:19:00,174,tablet,71.4
SS000142,U0136,B0064,2024-02-09 00:00:00,2024-02-09 00:30:00,130,tablet,17.1
SS000143,U0100,B0043,2024-08-04 00:00:00,2024-08-04 00:40:00,57,desktop,14.1
SS000144,U0056,B0057,2022-05-01 00:00:00,2022-05-01 00:06:00,135,mobile,26.0
SS000145,U0128,B0044,2021-08-10 00:00:00,2021-08-10 02:14:00,60,mobile,18.8
SS000146,U0074,B0048,2024-01-04 00:00:00,2024-01-04 01:51:00,213,tablet,37.3
SS000147,U0178,B0032,2020-11-06 00:00:00,2020-11-06 02:20:00,377,tablet,43.3
SS000148,U0063,B0018,2024-06-30 00:00:00,2024-06-30 01:54:00,80,tablet,42.5
SS000149,U0111,B0059,2024-10-11 00:00:00,2024-10-11 02:17:00,440,tablet,79.9
SS000150,U0099,B0004,2022-06-25 00:00:00,2022-06-25 00:42:00,194,mobile,77.5
SS000151,U0191,B0067,2025-04-16 00:00:00,2025-04-16 00:22:00,58,desktop,10.3
SS000152,U0086,B0052,2024-04-30 00:00:00,2024-04-30 00:47:00,238,desktop,44.5
SS000153,U0107,B0005,2023-09-14 00:00:00,2023-09-14 02:49:00,150,desktop,16.8
SS000154,U0155,B0008,2023-07-17 00:00:00,2023-07-17 02:54:00,402,tablet,87.8
SS000155,U0081,B0054,2022-04-03 00:00:00,2022-04-03 02:59:00,339,e-reader,70.7
SS000156,U0083,B0041,2025-02-05 00:00:00,2025-02-05 01:33:00,19,tablet,2.8
SS000157,U0077,B0068,2023-06-04 00:00:00,2023-06-04 00:42:00,612,e-reader,70.6
SS000158,U0121,B0027,2024-12-22 00:00:00,2024-12-22 02:24:00,361,e-reader,63.2
SS000159,U0166,B0057,2023-11-29 00:00:00,2023-11-29 01:33:00,465,e-reader,89.0
SS000160,U0174,B0052,2024-05-07 00:00:00,2024-05-07 00:55:00,474,desktop,88.3
SS000161,U0024,B0005,2023-01-05 00:00:00,2023-01-05 01:30:00,358,e-reader,40.2
SS000162,U0192,B0017,2022-12-01 00:00:00,2022-12-01 02:23:00,213,tablet,29.8
SS000163,U0026,B0066,2023-02-04 00:00:00,2023-02-04 01:24:00,70,e-reader,53.1
SS000164,U0170,B0021,2020-02-17 00:00:00,2020-02-17 00:12:00,621,tablet,89.3
SS000165,U0145,B0076,2021-06-13 00:00:00,2021-06-13 01:06:00,549,desktop,83.6
SS000166,U0083,B0055,2022-10-31 00:00:00,2022-10-31 00:33:00,254,tablet,73.7
SS000167,U0102,B0034,2023-07-08 00:00:00,2023-07-08 02:14:00,193,tablet,36.7
SS000168,U0014,B0016,2022-07-08 00:00:00,2022-07-08 01:21:00,245,tablet,58.1
SS000169,U0003,B0059,2021-11-25 00:00:00,2021-11-25 01:05:00,445,tablet,80.9
SS000170,U0156,B0073,2024-01-03 00:00:00,2024-01-03 02:45:00,556,e-reader,67.2
SS000171,U0160,B0030,2021-12-18 00:00:00,2021-12-18 01:21:00,207,tablet,29.9
SS000172,U0191,B0074,2023-10-09 00:00:00,2023-10-09 00:40:00,491,desktop,72.0
SS000173,U0140,B0032,2020-08-03 00:00:00,2020-08-03 01:28:00,458,e-reader,52.6
SS000174,U0054,B0047,2022-07-19 00:00:00,2022-07-19 00:30:00,40,mobile,16.4
SS000175,U0115,B0053,2020-06-16 00:00:00,2020-06-16 00:28:00,73,tablet,8.1
SS000176,U0037,B0061,2021-03-15 00:00:00,2021-03-15 01:59:00,35,mobile,9.7
SS000177,U0181,B0068,2022-04-04 00:00:00,2022-04-04 02:35:00,493,e-reader,56.8
SS000178,U0108,B0034,2023-04-11 00:00:00,2023-04-11 02:12:00,340,mobile,64.4
SS000179,U0119,B0063,2024-02-07 00:00:00,2024-02-07 01:51:00,363,e-reader,82.7
SS000180,U0040,B0065,2020-09-17 00:00:00,2020-09-17 02:09:00,501,desktop,71.7
SS000181,U0037,B0066,2024-11-02 00:00:00,2024-11-02 02:20:00,17,mobile,13.6
SS000182,U0059,B0059,2022-08-27 00:00:00,2022-08-27 00:13:00,414,e-reader,75.2
SS000183,U0150,B0048,2025-03-02 00:00:00,2025-03-02 00:35:00,349,desktop,61.0
SS000184,U0111,B0015,2020-09-04 00:00:00,2020-09-04 01:39:00,535,tablet,58.0
SS000185,U0012,B0067,2020-11-09 00:00:00,2020-11-09 00:35:00,216,tablet,38.4
SS000186,U0102,B0039,2021-08-25 00:00:00,2021-08-25 02:09:00,37,tablet,4.7
SS000187,U0040,B0019,2024-05-24 00:00:00,2024-05-24 02:35:00,326,desktop,43.3
SS000188,U0084,B0037,2021-03-17 00:00:00,2021-03-17 00:51:00,195,mobile,82.3
SS000189,U0132,B0001,2020-09-07 00:00:00,2020-09-07 02:25:00,99,e-reader,36.2
SS000190,U0013,B0054,2022-09-12 00:00:00,2022-09-12 02:31:00,155,tablet,32.4
SS000191,U0122,B0044,2024-05-19 00:00:00,2024-05-19 01:41:00,156,mobile,48.6
SS000192,U0192,B0078,2020-09-28 00:00:00,2020-09-28 00:40:00,128,tablet,51.5
SS000193,U0124,B0058,2023-09-28 00:00:00,2023-09-28 01:59:00,64,e-reader,16.6
SS000194,U0194,B0042,2020-07-01 00:00:00,2020-07-01 02:44:00,301,tablet,67.1
SS000195,U0111,B0050,2021-04-21 00:00:00,2021-04-21 01:46:00,128,tablet,35.2
SS000196,U0013,B0057,2024-02-16 00:00:00,2024-02-16 01:16:00,341,tablet,65.3
SS000197,U0046,B0004,2023-03-17 00:00:00,2023-03-17 02:46:00,200,e-reader,80.0
SS000198,U0189,B0040,2023-02-23 00:00:00,2023-02-23 02:50:00,96,mobile,14.1
SS000199,U0150,B0011,2021-01-29 00:00:00,2021-01-29 02:43:00,476,desktop,55.1
SS000200,U0015,B0073,2022-12-04 00:00:00,2022-12-04 00:53:00,625,e-reader,75.6
SS000201,U0135,B0003,2020-09-03 00:00:00,2020-09-03 02:53:00,655,desktop,93.7
SS000202,U0051,B0003,2021-07-17 00:00:00,2021-07-17 00:57:00,182,desktop,26.0
SS000203,U0188,B0075,2022-06-28 00:00:00,2022-06-28 00:26:00,359,desktop,81.1
SS000204,U0163,B0042,2022-04-02 00:00:00,2022-04-02 02:35:00,28,tablet,6.4
SS000205,U0007,B0044,2022-06-14 00:00:00,2022-06-14 00:51:00,137,tablet,42.7
SS000206,U0142,B0041,2022-02-21 00:00:00,2022-02-21 01:10:00,74,tablet,10.9
SS000207,U0028,B0070,2020-12-10 00:00:00,2020-12-10 01:18:00,54,tablet,16.1
SS000208,U0071,B0012,2020-11-11 00:00:00,2020-11-11 01:23:00,292,tablet,95.3
SS000209,U0181,B0022,2020-04-30 00:00:00,2020-04-30 02:42:00,182,e-reader,96.2
SS000210,U0051,B0004,2023-12-31 00:00:00,2023-12-31 00:19:00,78,desktop,31.2
SS000211,U0028,B0041,2020-10-18 00:00:00,2020-10-18 01:50:00,609,tablet,89.5
SS000212,U0072,B0049,2025-04-12 00:00:00,2025-04-12 00:35:00,43,mobile,7.1
SS000213,U0066,B0077,2023-04-15 00:00:00,2023-04-15 01:05:00,67,mobile,50.3
SS000214,U0136,B0050,2025-04-28 00:00:00,2025-04-28 00:34:00,103,tablet,28.4
SS000215,U0087,B0060,2023-02-06 00:00:00,2023-02-06 01:49:00,15,mobile,8.4
SS000216,U0009,B0053,2023-07-21 00:00:00,2023-07-21 01:04:00,830,mobile,91.5
SS000217,U0006,B0035,2023-02-08 00:00:00,2023-02-08 02:35:00,456,desktop,68.2
SS000218,U0068,B0072,2023-08-27 00:00:00,2023-08-27 00:37:00,263,desktop,31.9
SS000219,U0111,B0058,2020-06-20 00:00:00,2020-06-20 02:47:00,196,tablet,51.0
SS000220,U0040,B0048,2023-01-11 00:00:00,2023-01-11 00:48:00,450,desktop,78.6
SS000221,U0144,B0055,2025-02-09 00:00:00,2025-02-09 02:27:00,159,tablet,46.3
SS000222,U0002,B0060,2024-08-25 00:00:00,2024-08-25 02:43:00,57,mobile,30.3
SS000223,U0046,B0001,2020-05-03 00:00:00,2020-05-03 02:08:00,79,e-reader,28.8
SS000224,U0069,B0049,2021-12-20 00:00:00,2021-12-20 02:46:00,138,mobile,22.8
SS000225,U0137,B0037,2020-04-03 00:00:00,2020-04-03 00:46:00,177,tablet,74.4
SS000226,U0151,B0009,2021-09-07 00:00:00,2021-09-07 00:27:00,286,e-reader,40.7
SS000227,U0035,B0018,2024-01-24 00:00:00,2024-01-24 02:27:00,188,tablet,99.9
SS000228,U0117,B0027,2023-06-04 00:00:00,2023-06-04 02:14:00,547,desktop,95.8
SS000229,U0087,B0044,2023-07-24 00:00:00,2023-07-24 01:11:00,316,mobile,98.0
SS000230,U0189,B0058,2021-07-13 00:00:00,2021-07-13 01:07:00,258,mobile,66.9
SS000231,U0088,B0044,2021-03-07 00:00:00,2021-03-07 02:02:00,310,e-reader,96.0
SS000232,U0090,B0003,2025-02-14 00:00:00,2025-02-14 00:39:00,457,mobile,65.4
SS000233,U0002,B0078,2022-09-02 00:00:00,2022-09-02 00:06:00,224,mobile,90.3
SS000234,U0180,B0023,2022-04-26 00:00:00,2022-04-26 02:27:00,669,desktop,89.7
SS000235,U0188,B0063,2024-04-10 00:00:00,2024-04-10 01:45:00,240,desktop,54.7
SS000236,U0174,B0010,2023-01-08 00:00:00,2023-01-08 00:12:00,502,desktop,89.5
SS000237,U0179,B0057,2023-10-08 00:00:00,2023-10-08 00:36:00,191,desktop,36.6
SS000238,U0103,B0077,2022-01-03 00:00:00,2022-01-03 01:44:00,25,tablet,19.4
SS000239,U0186,B0002,2020-09-12 00:00:00,2020-09-12 02:03:00,237,mobile,38.3
SS000240,U0054,B0057,2020-01-20 00:00:00,2020-01-20 01:01:00,391,mobile,74.8
SS000241,U0077,B0046,2021-01-27 00:00:00,2021-01-27 00:28:00,744,e-reader,82.0
SS000242,U0168,B0039,2024-07-13 00:00:00,2024-07-13 01:01:00,199,mobile,25.0
SS000243,U0133,B0047,2020-03-16 00:00:00,2020-03-16 01:16:00,122,tablet,50.3
SS000244,U0188,B0078,2021-03-04 00:00:00,2021-03-04 00:06:00,52,desktop,21.2
SS000245,U0171,B0051,2020-08-15 00:00:00,2020-08-15 01:16:00,388,desktop,57.8
SS000246,U0133,B0022,2023-02-04 00:00:00,2023-02-04 00:54:00,126,tablet,66.7
SS000247,U0151,B0078,2023-03-03 00:00:00,2023-03-03 00:49:00,20,e-reader,8.4
SS000248,U0036,B0009,2020-09-17 00:00:00,2020-09-17 01:11:00,658,mobile,93.5
SS000249,U0063,B0067,2024-02-01 00:00:00,2024-02-01 01:15:00,117,tablet,20.8
SS000250,U0181,B0003,2023-11-20 00:00:00,2023-11-20 02:58:00,379,e-reader,54.2
SS000251,U0069,B0072,2024-12-13 00:00:00,2024-12-13 02:01:00,18,mobile,2.2
SS000252,U0116,B0007,2024-10-14 00:00:00,2024-10-14 01:27:00,320,tablet,44.4
SS000253,U0111,B0036,2020-09-06 00:00:00,2020-09-06 02:59:00,206,tablet,52.8
SS000254,U0133,B0047,2022-11-25 00:00:00,2022-11-25 00:16:00,216,tablet,88.6
SS000255,U0062,B0007,2021-07-23 00:00:00,2021-07-23 01:52:00,391,tablet,54.2
SS000256,U0086,B0001,2022-03-13 00:00:00,2022-03-13 00:54:00,96,desktop,34.8
SS000257,U0153,B0004,2024-02-19 00:00:00,2024-02-19 01:02:00,245,desktop,97.9
SS000258,U0115,B0010,2025-02-21 00:00:00,2025-02-21 01:08:00,119,tablet,21.3
SS000259,U0090,B0040,2020-05-08 00:00:00,2020-05-08 02:45:00,434,mobile,63.3
SS000260,U0009,B0062,2022-06-03 00:00:00,2022-06-03 00:11:00,174,mobile,60.1
SS000261,U0168,B0043,2024-09-17 00:00:00,2024-09-17 01:09:00,107,mobile,26.2
SS000262,U0128,B0031,2021-11-28 00:00:00,2021-11-28 00:18:00,774,mobile,82.5
SS000263,U0140,B0031,2025-04-16 00:00:00,2025-04-16 00:23:00,732,e-reader,78.0
SS000264,U0166,B0057,2024-04-13 00:00:00,2024-04-13 00:29:00,331,e-reader,63.3
SS000265,U0156,B0016,2020-06-24 00:00:00,2020-06-24 00:20:00,388,e-reader,91.8
SS000266,U0103,B0041,2024-12-27 00:00:00,2024-12-27 00:21:00,535,tablet,78.7
SS000267,U0017,B0057,2020-04-22 00:00:00,2020-04-22 01:22:00,323,desktop,61.9
SS000268,U0117,B0009,2020-07-27 00:00:00,2020-07-27 02:58:00,52,desktop,7.5
SS000269,U0015,B0038,2024-10-06 00:00:00,2024-10-06 01:42:00,277,e-reader,41.4
SS000270,U0166,B0053,2021-04-22 00:00:00,2021-04-22 02:38:00,719,e-reader,79.2
SS000271,U0167,B0002,2022-07-17 00:00:00,2022-07-17 01:43:00,294,mobile,47.5
SS000272,U0116,B0080,2023-06-22 00:00:00,2023-06-22 00:30:00,68,tablet,35.3
SS000273,U0180,B0004,2022-07-18 00:00:00,2022-07-18 02:17:00,85,desktop,34.2
SS000274,U0054,B0014,2020-07-29 00:00:00,2020-07-29 00:08:00,203,mobile,60.3
SS000275,U0019,B0076,2024-06-04 00:00:00,2024-06-04 00:54:00,595,desktop,90.6
SS000276,U0036,B0066,2021-06-08 00:00:00,2021-06-08 01:35:00,57,mobile,43.3
SS000277,U0193,B0080,2022-06-29 00:00:00,2022-06-29 00:52:00,50,tablet,25.8
SS000278,U0013,B0008,2020-09-18 00:00:00,2020-09-18 01:24:00,271,tablet,59.3
SS000279,U0138,B0046,2021-09-29 00:00:00,2021-09-29 02:34:00,806,e-reader,88.8
SS000280,U0041,B0019,2022-08-19 00:00:00,2022-08-19 01:24:00,460,tablet,61.1
SS000281,U0080,B0048,2020-01-17 00:00:00,2020-01-17 02:17:00,340,desktop,59.5
SS000282,U0181,B0019,2020-04-27 00:00:00,2020-04-27 01:05:00,389,e-reader,51.7
