subscription_id,user_id,plan_type,started_at,ended_at,price,payment_method,renewal_type,is_active,cancel_reason
S00063,U0119,basic,2023-08-20,2025-06-24,9.99,paypal,auto,True,
S00064,U0164,premium,2022-12-27,2023-02-24,19.99,paypal,manual,False,
S00065,U0152,basic,2023-12-24,2024-08-29,9.99,bank_transfer,auto,False,not_enough_content
S00066,U0148,free,2025-01-01,2025-08-10,0.0,,manual,True,
S00067,U0084,free,2022-11-27,2023-09-21,0.0,,manual,False,technical_issues
S00068,U0153,basic,2024-09-27,2026-06-20,9.99,credit_card,manual,True,
S00069,U0091,premium,2024-11-09,2025-06-03,19.99,bank_transfer,auto,True,
S00070,U0173,free,2021-06-12,2022-03-13,0.0,,auto,False,switching_service
S00071,U0047,basic,2022-05-11,2023-11-15,9.99,apple_pay,auto,False,technical_issues
S00072,U0148,basic,2024-10-03,2026-03-15,9.99,google_pay,auto,True,
S00073,U0143,free,2022-09-06,2023-02-26,0.0,,manual,False,not_enough_content
S00074,U0116,basic,2024-11-15,2025-12-17,9.99,credit_card,manual,True,
S00075,U0035,free,2022-03-13,2023-11-08,0.0,,manual,False,
S00076,U0105,premium,2024-11-01,2026-02-28,19.99,apple_pay,auto,True,
S00077,U0022,basic,2024-12-22,2025-09-03,9.99,bank_transfer,auto,True,
S00078,U0071,basic,2023-07-13,2024-01-31,9.99,google_pay,manual,False,technical_issues
S00079,U0141,basic,2023-11-23,2024-04-17,9.99,google_pay,manual,False,switching_service
S00080,U0139,premium,2022-06-12,2023-10-06,19.99,paypal,manual,False,
S00081,U0027,premium,2023-02-28,2024-01-28,19.99,apple_pay,manual,False,too_expensive
S00082,U0090,premium,2022-07-15,2023-11-06,19.99,paypal,auto,False,too_expensive
S00083,U0189,basic,2023-07-06,2025-04-20,9.99,paypal,auto,False,technical_issues
S00084,U0053,premium,2024-12-28,2025-03-28,19.99,bank_transfer,manual,False,
S00085,U0153,basic,2024-09-09,2025-08-04,9.99,bank_transfer,manual,True,
S00086,U0132,premium,2024-07-07,2024-11-11,19.99,apple_pay,auto,False,not_enough_content
S00087,U0071,premium,2023-01-28,2023-07-12,19.99,paypal,manual,False,not_enough_content
S00088,U0064,premium,2024-05-15,2025-07-21,19.99,apple_pay,auto,True,
S00089,U0148,basic,2024-12-01,2026-01-19,9.99,apple_pay,auto,True,
S00090,U0163,premium,2024-04-26,2025-07-12,19.99,google_pay,manual,True,
S00091,U0178,premium,2024-10-14,2026-02-21,19.99,apple_pay,manual,True,
S00092,U0149,free,2024-12-30,2025-05-04,0.0,,manual,True,
S00093,U0163,premium,2024-09-09,2024-12-12,19.99,apple_pay,auto,False,
S00094,U0110,premium,2024-12-17,2025-10-17,19.99,bank_transfer,manual,True,
S00095,U0087,basic,2022-07-14,2024-03-14,9.99,bank_transfer,auto,False,technical_issues
S00096,U0012,free,2024-11-08,2026-03-23,0.0,,auto,True,
S00097,U0032,premium,2022-04-25,2023-08-19,19.99,credit_card,manual,False,technical_issues
S00098,U0052,premium,2023-05-26,2025-04-20,19.99,paypal,manual,False,switching_service
S00099,U0024,premium,2024-12-02,2025-03-26,19.99,paypal,auto,False,switching_service
S00100,U0102,basic,2024-12-23,2026-04-06,9.99,credit_card,auto,True,
S00101,U0001,basic,2023-12-15,2024-05-28,9.99,paypal,manual,False,
S00102,U0003,free,2024-05-18,2024-10-18,0.0,,auto,False,technical_issues
S00103,U0123,free,2024-06-19,2024-10-18,0.0,,auto,False,too_expensive
S00104,U0081,basic,2022-08-25,2023-02-11,9.99,paypal,auto,False,technical_issues
S00105,U0018,basic,2024-09-20,2026-07-06,9.99,paypal,manual,True,
S00106,U0090,premium,2024-01-20,2024-07-23,19.99,google_pay,manual,False,technical_issues
S00107,U0056,free,2020-11-25,2021-05-17,0.0,,manual,False,too_expensive
S00108,U0090,premium,2023-03-05,2023-08-25,19.99,bank_transfer,auto,False,not_enough_content
S00109,U0064,basic,2023-12-11,2025-09-23,9.99,bank_transfer,auto,True,
S00110,U0169,premium,2024-10-04,2026-04-17,19.99,google_pay,auto,True,
S00111,U0192,basic,2024-08-19,2024-11-12,9.99,apple_pay,manual,False,not_enough_content
S00112,U0029,basic,2025-01-24,2026-08-17,9.99,credit_card,manual,True,
S00113,U0082,free,2024-12-14,2026-08-18,0.0,,manual,True,
S00114,U0094,basic,2022-12-31,2024-05-26,9.99,credit_card,auto,False,too_expensive
S00115,U0004,basic,2023-10-04,2024-01-03,9.99,google_pay,manual,False,technical_issues
S00116,U0161,premium,2024-04-21,2025-07-28,19.99,apple_pay,auto,True,
S00117,U0164,basic,2024-03-22,2024-09-24,9.99,credit_card,manual,False,switching_service
S00118,U0021,basic,2024-11-20,2025-05-28,9.99,google_pay,manual,True,
S00119,U0101,basic,2021-11-24,2022-11-06,9.99,paypal,auto,False,technical_issues
S00120,U0063,free,2024-05-13,2024-10-08,0.0,,auto,False,technical_issues
S00121,U0080,premium,2025-01-29,2025-06-30,19.99,credit_card,auto,True,
S00122,U0180,free,2024-08-07,2025-08-27,0.0,,manual,True,
S00123,U0043,basic,2024-05-05,2025-03-06,9.99,credit_card,manual,False,too_expensive
S00124,U0110,basic,2022-07-18,2023-05-13,9.99,credit_card,manual,False,
S00125,U0117,basic,2024-07-04,2025-12-27,9.99,google_pay,auto,True,
S00126,U0095,free,2021-06-11,2023-02-18,0.0,,auto,False,too_expensive
S00127,U0190,basic,2021-08-05,2021-09-16,9.99,credit_card,manual,False,not_enough_content
S00128,U0094,basic,2022-11-15,2023-06-16,9.99,google_pay,manual,False,too_expensive
S00129,U0058,basic,2024-06-20,2025-06-12,9.99,bank_transfer,auto,True,
S00130,U0147,basic,2024-11-05,2026-10-25,9.99,credit_card,auto,True,
S00131,U0058,premium,2022-05-24,2023-08-07,19.99,apple_pay,manual,False,too_expensive
S00132,U0199,premium,2024-12-14,2025-04-11,19.99,apple_pay,auto,False,
S00133,U0095,basic,2024-01-11,2024-12-17,9.99,paypal,manual,False,
S00134,U0095,basic,2023-08-20,2024-04-06,9.99,paypal,auto,False,
S00135,U0002,premium,2024-05-13,2025-02-05,19.99,bank_transfer,auto,False,
S00136,U0086,free,2024-06-08,2025-07-28,0.0,,manual,True,
S00137,U0027,basic,2023-02-09,2024-05-13,9.99,credit_card,auto,False,technical_issues
S00138,U0183,basic,2022-05-04,2023-01-26,9.99,apple_pay,manual,False,
S00139,U0118,premium,2023-04-18,2025-01-01,19.99,google_pay,auto,False,too_expensive
S00140,U0164,premium,2021-03-10,2022-12-06,19.99,credit_card,manual,False,
S00141,U0170,premium,2023-03-16,2024-02-07,19.99,bank_transfer,manual,False,switching_service
S00142,U0180,premium,2024-02-15,2025-02-04,19.99,bank_transfer,auto,False,technical_issues
S00143,U0020,premium,2024-11-12,2026-08-02,19.99,credit_card,auto,True,
S00144,U0028,free,2024-11-02,2025-10-19,0.0,,manual,True,
S00145,U0031,basic,2024-01-21,2025-05-27,9.99,bank_transfer,manual,True,
S00146,U0068,premium,2020-11-23,2021-06-02,19.99,google_pay,auto,False,switching_service
S00147,U0056,premium,2022-03-06,2022-09-03,19.99,paypal,manual,False,too_expensive
S00148,U0102,basic,2024-12-25,2025-10-17,9.99,paypal,auto,True,
S00149,U0104,premium,2023-09-02,2025-04-17,19.99,credit_card,manual,False,not_enough_content
S00150,U0027,premium,2022-07-23,2022-12-24,19.99,credit_card,auto,False,too_expensive
S00151,U0034,free,2023-07-29,2024-09-12,0.0,,manual,False,too_expensive
S00152,U0020,free,2024-11-08,2025-06-28,0.0,,manual,True,
S00153,U0033,free,2024-07-05,2024-12-07,0.0,,manual,False,too_expensive
S00154,U0013,free,2024-07-07,2025-10-23,0.0,,manual,True,
S00155,U0128,free,2025-01-01,2026-04-12,0.0,,auto,True,
S00156,U0091,basic,2023-08-26,2024-07-02,9.99,apple_pay,auto,False,switching_service
S00157,U0009,basic,2024-12-30,2025-10-07,9.99,bank_transfer,manual,True,
S00158,U0106,premium,2024-06-01,2024-09-01,19.99,bank_transfer,manual,False,too_expensive
S00159,U0036,basic,2024-10-18,2026-05-09,9.99,paypal,auto,True,
S00160,U0098,premium,2023-12-31,2025-06-04,19.99,google_pay,manual,True,
S00161,U0089,premium,2024-05-06,2025-04-30,19.99,bank_transfer,auto,False,technical_issues
S00162,U0007,basic,2023-12-09,2024-02-07,9.99,credit_card,manual,False,switching_service
S00163,U0136,basic,2024-03-26,2024-12-19,9.99,credit_card,auto,False,not_enough_content
S00164,U0169,basic,2024-11-15,2025-02-10,9.99,google_pay,manual,False,not_enough_content
S00165,U0091,premium,2023-08-12,2024-03-09,19.99,google_pay,manual,False,not_enough_content
S00166,U0189,premium,2024-11-10,2025-01-07,19.99,google_pay,auto,False,switching_service
S00167,U0145,premium,2024-02-26,2025-10-03,19.99,bank_transfer,auto,True,
S00168,U0126,free,2021-07-08,2022-04-02,0.0,,auto,False,
S00169,U0006,basic,2020-05-26,2021-05-30,9.99,paypal,auto,False,
S00170,U0088,premium,2023-09-26,2023-12-25,19.99,paypal,auto,False,too_expensive
S00171,U0199,free,2024-12-27,2026-02-03,0.0,,auto,True,
S00172,U0096,premium,2024-06-16,2026-03-08,19.99,credit_card,manual,True,
S00173,U0078,basic,2023-09-29,2025-01-18,9.99,bank_transfer,auto,False,technical_issues
S00174,U0182,premium,2024-08-17,2026-06-06,19.99,bank_transfer,auto,True,
S00175,U0171,basic,2021-11-22,2023-01-13,9.99,bank_transfer,auto,False,switching_service
S00176,U0046,premium,2024-11-23,2026-01-27,19.99,google_pay,auto,True,
S00177,U0047,basic,2024-12-29,2025-09-11,9.99,google_pay,auto,True,
S00178,U0128,free,2025-01-01,2025-04-20,0.0,,manual,False,not_enough_content
S00179,U0082,free,2022-11-06,2024-10-22,0.0,,manual,False,switching_service
S00180,U0003,basic,2024-02-12,2024-05-21,9.99,bank_transfer,auto,False,switching_service
S00181,U0185,free,2022-05-04,2023-08-25,0.0,,auto,False,technical_issues
S00182,U0106,basic,2024-02-19,2025-03-14,9.99,apple_pay,auto,False,
S00183,U0123,premium,2024-01-09,2024-07-23,19.99,credit_card,auto,False,technical_issues
S00184,U0076,free,2024-11-16,2025-04-02,0.0,,manual,False,too_expensive
S00185,U0044,premium,2023-11-12,2024-02-26,19.99,credit_card,manual,False,
S00186,U0153,premium,2024-10-20,2024-12-20,19.99,paypal,manual,False,technical_issues
S00187,U0041,free,2024-12-08,2025-08-05,0.0,,auto,True,
S00188,U0105,premium,2024-08-16,2026-07-23,19.99,bank_transfer,manual,True,
S00189,U0061,free,2022-07-30,2024-04-05,0.0,,manual,False,
S00190,U0040,free,2025-02-14,2026-05-27,0.0,,auto,True,
S00191,U0076,premium,2024-12-10,2026-09-15,19.99,apple_pay,auto,True,
S00192,U0025,free,2024-11-28,2026-10-12,0.0,,manual,True,
S00193,U0021,basic,2024-11-14,2025-10-25,9.99,apple_pay,manual,True,
S00194,U0126,premium,2022-09-08,2023-01-09,19.99,apple_pay,auto,False,
S00195,U0095,premium,2022-12-09,2023-07-18,19.99,credit_card,manual,False,technical_issues
S00196,U0113,basic,2021-08-15,2022-06-16,9.99,credit_card,auto,False,
S00197,U0193,premium,2021-11-14,2022-03-11,19.99,google_pay,manual,False,switching_service
S00198,U0194,basic,2023-06-11,2023-09-11,9.99,google_pay,manual,False,technical_issues
S00199,U0138,premium,2024-01-15,2025-09-22,19.99,paypal,manual,True,
S00200,U0077,free,2022-01-06,2023-07-04,0.0,,auto,False,
S00201,U0031,premium,2024-09-24,2025-04-19,19.99,paypal,auto,False,not_enough_content
S00202,U0033,free,2023-10-20,2025-10-18,0.0,,manual,True,
S00203,U0052,premium,2024-10-14,2025-04-13,19.99,bank_transfer,manual,False,
S00204,U0187,premium,2021-05-17,2021-09-13,19.99,google_pay,manual,False,technical_issues
S00205,U0142,basic,2024-11-21,2026-06-06,9.99,apple_pay,auto,True,
S00206,U0180,basic,2024-09-03,2025-12-06,9.99,credit_card,manual,True,
S00207,U0039,free,2024-06-03,2026-02-19,0.0,,auto,True,
S00208,U0028,basic,2024-04-29,2025-03-17,9.99,bank_transfer,manual,False,
S00209,U0068,basic,2023-02-10,2024-10-17,9.99,apple_pay,auto,False,
S00210,U0045,basic,2021-05-08,2023-03-02,9.99,apple_pay,auto,False,
S00211,U0102,premium,2024-12-26,2025-09-25,19.99,credit_card,manual,True,
S00212,U0069,premium,2022-03-22,2023-04-01,19.99,bank_transfer,manual,False,switching_service
S00213,U0126,premium,2021-10-02,2022-06-22,19.99,bank_transfer,manual,False,not_enough_content
S00214,U0199,premium,2024-12-11,2026-03-12,19.99,google_pay,auto,True,
S00215,U0049,basic,2022-10-17,2024-03-26,9.99,bank_transfer,auto,False,
S00216,U0132,premium,2022-10-18,2023-10-01,19.99,apple_pay,auto,False,
S00217,U0200,premium,2024-12-25,2025-02-22,19.99,paypal,auto,False,not_enough_content
S00218,U0015,basic,2024-10-08,2024-12-28,9.99,paypal,manual,False,switching_service
S00219,U0095,premium,2023-09-13,2024-11-22,19.99,credit_card,auto,False,too_expensive
S00220,U0096,basic,2024-08-06,2025-03-05,9.99,google_pay,manual,False,technical_issues
